15-dic-2025;;;;;;;;;;;;
iShares Global Aerospace & Defence UCITS ETF;;;;;;;;;;;;
Inception Date;01/02/2024;;;;;;;;;;;
Fund Holdings as of;15/12/2025;;;;;;;;;;;
Number of Securities;77,00;;;;;;;;;;;
Shares Outstanding;129.545.500,00;;;;;;;;;;;
;;;;;;;;;;;;
Ticker dell'emittente;Nome;Investimento;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
NPK;NATIONAL PRESTO INDUSTRIES INC;EQUITY;Industriali;Azionario;287.508,20;0,02;287.508,20;2.740,00;104,93;Stati Uniti;New York Stock Exchange Inc.;USD
464A;QPS HOLDINGS INC;EQUITY;Industriali;Azionario;234.335,99;0,02;234.335,99;20.800,00;11,27;Giappone;Tokyo Stock Exchange;JPY
186A;ASTROSCALE HOLDINGS INC;EQUITY;Industriali;Azionario;228.321,36;0,02;228.321,36;55.700,00;4,10;Giappone;Tokyo Stock Exchange;JPY
RDW;REDWIRE CORP;EQUITY;Industriali;Azionario;201.615,18;0,02;201.615,18;29.262,00;6,89;Stati Uniti;New York Stock Exchange Inc.;USD
BYRN;BYRNA TECHNOLOGIES INC;EQUITY;Industriali;Azionario;167.738,22;0,01;167.738,22;9.607,00;17,46;Stati Uniti;NASDAQ;USD
099320;SATREC INITIATIVE LTD;EQUITY;Industriali;Azionario;140.452,89;0,01;140.452,89;3.484,00;40,31;Corea;Korea Exchange (Kosdaq);KRW
003570;SNT DYNAMICS LTD;EQUITY;Industriali;Azionario;136.709,47;0,01;136.709,47;4.265,00;32,05;Corea;Korea Exchange (Stock Market);KRW
SGD;SGD CASH;CASH;Liquidità e/o derivati;Contanti;117.308,92;0,01;117.308,92;151.164,00;77,60;Singapore;--;SGD
MLIFT;CASH COLLATERAL USD MLIFT;CASH;Liquidità e/o derivati;Cash Collateral and Margins;96.000,00;0,01;96.000,00;96.000,00;100,00;Stati Uniti;--;USD
9348;ISPACE INC;EQUITY;Industriali;Azionario;77.771,26;0,01;77.771,26;27.300,00;2,85;Giappone;Tokyo Stock Exchange;JPY
ILS;ILS CASH;CASH;Liquidità e/o derivati;Contanti;35.699,63;0,00;35.699,63;114.715,00;31,12;Israele;--;ILS
CAD;CAD CASH;CASH;Liquidità e/o derivati;Contanti;26.236,62;0,00;26.236,62;36.108,00;72,66;Canada;--;CAD
JPY;JPY CASH;CASH;Liquidità e/o derivati;Contanti;23.905,27;0,00;23.905,27;3.709.022,00;0,64;Giappone;--;JPY
AUD;AUD CASH;CASH;Liquidità e/o derivati;Contanti;22.993,99;0,00;22.993,99;34.575,00;66,50;Australia;--;AUD
EUR;EUR/USD;FX;Liquidità e/o derivati;FX;3.384,72;0,00;3.384,72;1.448.940,00;1,00;Stati Uniti;--;USD
GBP;GBP/USD;FX;Liquidità e/o derivati;FX;2.556,37;0,00;2.556,37;638.136,00;1,00;Stati Uniti;--;USD
KRW;KRW/USD;FX;Liquidità e/o derivati;FX;216,39;0,00;216,39;189.458.500,00;1,00;Stati Uniti;--;USD
