15-dic-2025;;;;;;;;;;;
iShares Core MSCI EM IMI UCITS ETF;;;;;;;;;;;
Inception Date;30/05/2014;;;;;;;;;;
Fund Holdings as of;15/12/2025;;;;;;;;;;
Number of Securities;3.022,00;;;;;;;;;;
Shares Outstanding;709.449.982,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
FEMSAUBD;FOMENTO ECONOMICO MEXICANO;Generi di largo consumo;Azionario;47.555.752,65;0,15;47.555.752,65;4.611.533,00;10,31;Messico;Bolsa Mexicana De Valores;MXN
1088;CHINA SHENHUA ENERGY LTD H;Energia;Azionario;47.147.668,64;0,14;47.147.668,64;9.520.000,00;4,95;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
ICSUAGD;BLK ICS USD LIQ AGENCY DIS;Liquidità e/o derivati;Money Market;46.663.906,23;0,14;46.663.906,23;46.663.906,00;1,00;Irlanda;--;USD
MTN;MTN GROUP LTD;Comunicazione;Azionario;46.496.035,87;0,14;46.496.035,87;4.944.882,00;9,40;Sud Africa;Johannesburg Stock Exchange;ZAR
BBDC4;BANCO BRADESCO PREF SA;Finanziari;Azionario;46.487.614,95;0,14;46.487.614,95;13.274.278,00;3,50;Brasile;XBSP;BRL
BEL;BHARAT ELECTRONICS LTD;Industriali;Azionario;45.379.875,90;0,14;45.379.875,90;10.537.393,00;4,31;India;National Stock Exchange Of India;INR
SBIN;STATE BANK OF INDIA;Finanziari;Azionario;45.253.063,15;0,14;45.253.063,15;4.245.004,00;10,66;India;National Stock Exchange Of India;INR
2412;CHUNGHWA TELECOM LTD;Comunicazione;Azionario;44.747.373,96;0,14;44.747.373,96;10.756.000,00;4,16;Taiwan;Taiwan Stock Exchange;TWD
CIMB;CIMB GROUP HOLDINGS;Finanziari;Azionario;44.271.158,33;0,14;44.271.158,33;22.847.379,00;1,94;Malesia;Bursa Malaysia;MYR
BBRI;BANK RAKYAT INDONESIA (PERSERO);Finanziari;Azionario;44.252.398,30;0,14;44.252.398,30;195.096.883,00;0,23;Indonesia;Indonesia Stock Exchange;IDR
