15-dic-2025;;;;;;;;;;;
iShares Core MSCI Pacific ex-Japan UCITS ETF;;;;;;;;;;;
Inception Date;12/01/2010;;;;;;;;;;
Fund Holdings as of;15/12/2025;;;;;;;;;;
Number of Securities;94,00;;;;;;;;;;
Shares Outstanding;15.650.285,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
3;HONG KONG AND CHINA GAS LTD;Imprese di servizi di pubblica utilità;Azionario;16.678.328,37;0,49;16.678.328,37;18.383.841,00;0,91;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
SIG;SIGMA HEALTHCARE LTD;Salute;Azionario;16.297.839,46;0,48;16.297.839,46;8.421.370,00;1,94;Australia;Asx - All Markets;AUD
S63;SINGAPORE TECHNOLOGIES ENGINEERING;Industriali;Azionario;16.214.881,27;0,48;16.214.881,27;2.529.600,00;6,41;Singapore;Singapore Exchange;SGD
1113;CK ASSET HOLDINGS LTD;Immobili;Azionario;15.953.183,76;0,47;15.953.183,76;3.150.936,00;5,06;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
27;GALAXY ENTERTAINMENT GROUP LTD;Consumi Discrezionali;Azionario;15.746.826,95;0,46;15.746.826,95;3.194.500,00;4,93;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
288;WH GROUP LTD;Generi di largo consumo;Azionario;15.489.016,74;0,46;15.489.016,74;13.558.465,00;1,14;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
6;POWER ASSETS HOLDINGS LTD;Imprese di servizi di pubblica utilità;Azionario;15.467.768,36;0,46;15.467.768,36;2.252.000,00;6,87;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
SGP;STOCKLAND STAPLED UNITS LTD;Immobili;Azionario;15.251.288,41;0,45;15.251.288,41;3.933.541,00;3,88;Australia;Asx - All Markets;AUD
WTC;WISETECH GLOBAL LTD;IT;Azionario;15.165.325,72;0,45;15.165.325,72;323.405,00;46,89;Australia;Asx - All Markets;AUD
FUTU;FUTU HOLDINGS ADR LTD;Finanziari;Azionario;14.926.581,78;0,44;14.926.581,78;92.202,00;161,89;Hong Kong;NASDAQ;USD
PME;PRO MEDICUS LTD;Salute;Azionario;14.401.269,67;0,42;14.401.269,67;92.663,00;155,42;Australia;Asx - All Markets;AUD
MPL;MEDIBANK PRIVATE LTD;Finanziari;Azionario;14.235.133,91;0,42;14.235.133,91;4.487.339,00;3,17;Australia;Asx - All Markets;AUD
A17U;CAPITALAND ASCENDAS REIT;Immobili;Azionario;13.644.796,59;0,40;13.644.796,59;6.370.538,00;2,14;Singapore;Singapore Exchange;SGD
SOL;WASHINGTON H SOUL PATTINSON & COMP;Finanziari;Azionario;13.082.668,17;0,39;13.082.668,17;559.173,00;23,40;Australia;Asx - All Markets;AUD
APA;APA GROUP UNITS;Imprese di servizi di pubblica utilità;Azionario;12.860.931,17;0,38;12.860.931,17;2.132.116,00;6,03;Australia;Asx - All Markets;AUD
H78;HONGKONG LAND HOLDINGS LTD;Immobili;Azionario;12.724.423,00;0,37;12.724.423,00;1.794.700,00;7,09;Hong Kong;Singapore Exchange;USD
CAR;CAR GROUP LTD;Comunicazione;Azionario;12.719.233,55;0,37;12.719.233,55;613.775,00;20,72;Australia;Asx - All Markets;AUD
AIA;AUCKLAND INTERNATIONAL AIRPORT LTD;Industriali;Azionario;12.537.307,37;0,37;12.537.307,37;2.651.133,00;4,73;Nuova Zelanda;New Zealand Exchange Ltd;NZD
C6L;SINGAPORE AIRLINES LTD;Industriali;Azionario;12.447.982,06;0,37;12.447.982,06;2.538.049,00;4,90;Singapore;Singapore Exchange;SGD
TLC;THE LOTTERY CORPORATION LTD;Consumi Discrezionali;Azionario;12.429.424,10;0,37;12.429.424,10;3.621.988,00;3,43;Australia;Asx - All Markets;AUD
LYC;LYNAS RARE EARTHS LTD;Materiali;Azionario;12.305.763,18;0,36;12.305.763,18;1.468.533,00;8,38;Australia;Asx - All Markets;AUD
SHL;SONIC HEALTHCARE LTD;Salute;Azionario;11.740.254,04;0,35;11.740.254,04;768.198,00;15,28;Australia;Asx - All Markets;AUD
BS6;YANGZIJIANG SHIPBUILDING (HOLDINGS;Industriali;Azionario;11.603.833,62;0,34;11.603.833,62;4.272.200,00;2,72;Singapore;Singapore Exchange;SGD
AUD;AUD CASH;Liquidità e/o derivati;Contanti;11.454.392,83;0,34;11.454.392,83;17.223.356,00;66,50;Australia;--;AUD
ASX;ASX LTD;Finanziari;Azionario;11.241.023,84;0,33;11.241.023,84;314.993,00;35,69;Australia;Asx - All Markets;AUD
VCX;VICINITY CENTRES;Immobili;Azionario;10.749.043,11;0,32;10.749.043,11;6.338.337,00;1,70;Australia;Asx - All Markets;AUD
REA;REA GROUP LTD;Comunicazione;Azionario;10.679.245,26;0,31;10.679.245,26;84.926,00;125,75;Australia;Asx - All Markets;AUD
1928;SANDS CHINA LTD;Consumi Discrezionali;Azionario;10.155.963,48;0,30;10.155.963,48;3.932.000,00;2,58;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
SGH;SGH LTD;Industriali;Azionario;10.113.695,93;0,30;10.113.695,93;329.879,00;30,66;Australia;Asx - All Markets;AUD
66;MTR CORPORATION CORP LTD;Industriali;Azionario;9.936.378,24;0,29;9.936.378,24;2.550.277,00;3,90;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
IFT;INFRATIL LTD;Finanziari;Azionario;9.892.091,73;0,29;9.892.091,73;1.508.671,00;6,56;Nuova Zelanda;New Zealand Exchange Ltd;NZD
6823;HKT TRUST AND HKT UNITS LTD;Comunicazione;Azionario;9.272.593,78;0,27;9.272.593,78;6.125.540,00;1,51;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
12;HENDERSON LAND DEVELOPMENT LTD;Immobili;Azionario;8.909.098,17;0,26;8.909.098,17;2.385.759,00;3,73;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
1997;WHARF REAL ESTATE INVESTMENT COMPA;Immobili;Azionario;8.490.362,92;0,25;8.490.362,92;2.710.073,00;3,13;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
83;SINO LAND LTD;Immobili;Azionario;8.064.531,94;0,24;8.064.531,94;5.942.972,00;1,36;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
9CI;CAPITALAND INVESTMENT LTD;Immobili;Azionario;7.847.955,92;0,23;7.847.955,92;3.845.200,00;2,04;Singapore;Singapore Exchange;SGD
QAN;QANTAS AIRWAYS LTD;Industriali;Azionario;7.840.079,21;0,23;7.840.079,21;1.201.703,00;6,52;Australia;Asx - All Markets;AUD
1308;SITC INTERNATIONAL HOLDINGS LTD;Industriali;Azionario;7.755.948,06;0,23;7.755.948,06;2.190.000,00;3,54;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
1038;CHEUNG KONG INFRASTRUCTURE HOLDING;Imprese di servizi di pubblica utilità;Azionario;7.535.707,63;0,22;7.535.707,63;1.050.000,00;7,18;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
CEN;CONTACT ENERGY LTD;Imprese di servizi di pubblica utilità;Azionario;7.448.644,53;0,22;7.448.644,53;1.380.318,00;5,40;Nuova Zelanda;New Zealand Exchange Ltd;NZD
F34;WILMAR INTERNATIONAL LTD;Generi di largo consumo;Azionario;7.438.416,89;0,22;7.438.416,89;3.132.400,00;2,37;Singapore;Singapore Exchange;SGD
U96;SEMBCORP INDUSTRIES LTD;Imprese di servizi di pubblica utilità;Azionario;6.827.595,06;0,20;6.827.595,06;1.463.900,00;4,66;Singapore;Singapore Exchange;SGD
MEL;MERIDIAN ENERGY LTD;Imprese di servizi di pubblica utilità;Azionario;6.774.902,25;0,20;6.774.902,25;2.138.431,00;3,17;Nuova Zelanda;New Zealand Exchange Ltd;NZD
4;WHARF (HOLDINGS) LTD;Immobili;Azionario;4.980.008,68;0,15;4.980.008,68;1.682.039,00;2,96;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
19;SWIRE PACIFIC LTD A;Industriali;Azionario;4.722.683,75;0,14;4.722.683,75;564.976,00;8,36;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
HKD;HKD CASH;Liquidità e/o derivati;Contanti;2.955.292,16;0,09;2.955.292,16;22.997.936,00;12,85;Hong Kong;--;HKD
SGD;SGD CASH;Liquidità e/o derivati;Contanti;2.904.129,56;0,09;2.904.129,56;3.742.261,00;77,60;Singapore;--;SGD
USD;USD CASH;Liquidità e/o derivati;Contanti;2.157.137,75;0,06;2.157.137,75;2.157.138,00;100,00;Stati Uniti;--;USD
MLIFT;CASH COLLATERAL USD MLIFT;Liquidità e/o derivati;Cash Collateral and Margins;1.339.000,00;0,04;1.339.000,00;1.339.000,00;100,00;Stati Uniti;--;USD
NZD;NZD CASH;Liquidità e/o derivati;Contanti;647.270,58;0,02;647.270,58;1.115.503,00;58,02;Nuova Zelanda;--;NZD
GBP;GBP CASH;Liquidità e/o derivati;Contanti;45.207,71;0,00;45.207,71;33.751,00;133,94;Regno unito;--;GBP
EUR;EUR CASH;Liquidità e/o derivati;Contanti;18.374,98;0,00;18.374,98;15.622,00;117,62;Unione Europea;--;EUR
QZZ5;MSCI SING IX ETS DEC 25;Liquidità e/o derivati;Futures;0,00;0,00;3.456.150,09;101,00;342,19;--;Singapore Exchange Derivatives Clearing Limited;SGD
ZSSH6;MSCI HONG KONG INDEX MAR 26;Liquidità e/o derivati;Futures;0,00;0,00;4.085.770,00;53,00;77.090,00;--;Eurex Deutschland;USD
XPH6;SPI 200 MAR 26;Liquidità e/o derivati;Futures;0,00;0,00;13.192.929,38;92,00;5.736,04;--;Asx - Trade24;AUD
