15-dic-2025;;;;;;;;;;;
iShares MSCI USA SRI UCITS ETF;;;;;;;;;;;
Inception Date;11/07/2016;;;;;;;;;;
Fund Holdings as of;15/12/2025;;;;;;;;;;
Number of Securities;151,00;;;;;;;;;;
Shares Outstanding;168.986.462,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
ALNY;ALNYLAM PHARMACEUTICALS INC;Salute;Azionario;14.049.369,00;0,38;14.049.369,00;35.886,00;391,50;Stati Uniti;NASDAQ;USD
FOXA;FOX CORP CLASS A;Comunicazione;Azionario;13.370.084,69;0,36;13.370.084,69;187.703,00;71,23;Stati Uniti;NASDAQ;USD
EW;EDWARDS LIFESCIENCES CORP;Salute;Azionario;13.326.375,26;0,36;13.326.375,26;159.827,00;83,38;Stati Uniti;New York Stock Exchange Inc.;USD
GWW;WW GRAINGER INC;Industriali;Azionario;12.799.489,92;0,34;12.799.489,92;12.432,00;1.029,56;Stati Uniti;New York Stock Exchange Inc.;USD
AMP;AMERIPRISE FINANCE INC;Finanziari;Azionario;12.623.920,65;0,34;12.623.920,65;25.685,00;491,49;Stati Uniti;New York Stock Exchange Inc.;USD
ROK;ROCKWELL AUTOMATION INC;Industriali;Azionario;12.347.524,30;0,33;12.347.524,30;30.742,00;401,65;Stati Uniti;New York Stock Exchange Inc.;USD
TGT;TARGET CORP;Generi di largo consumo;Azionario;12.083.196,24;0,32;12.083.196,24;123.854,00;97,56;Stati Uniti;New York Stock Exchange Inc.;USD
TRMB;TRIMBLE INC;IT;Azionario;11.997.360,33;0,32;11.997.360,33;149.649,00;80,17;Stati Uniti;NASDAQ;USD
FERG;FERGUSON ENTERPRISES INC;Industriali;Azionario;11.947.655,30;0,32;11.947.655,30;52.990,00;225,47;Stati Uniti;New York Stock Exchange Inc.;USD
NDAQ;NASDAQ INC;Finanziari;Azionario;11.579.728,51;0,31;11.579.728,51;124.607,00;92,93;Stati Uniti;NASDAQ;USD
AXON;AXON ENTERPRISE INC;Industriali;Azionario;11.173.747,50;0,30;11.173.747,50;20.250,00;551,79;Stati Uniti;NASDAQ;USD
PRU;PRUDENTIAL FINANCIAL INC;Finanziari;Azionario;11.160.122,40;0,30;11.160.122,40;94.899,00;117,60;Stati Uniti;New York Stock Exchange Inc.;USD
CARR;CARRIER GLOBAL CORP;Industriali;Azionario;10.874.122,38;0,29;10.874.122,38;206.811,00;52,58;Stati Uniti;New York Stock Exchange Inc.;USD
A;AGILENT TECHNOLOGIES INC;Salute;Azionario;10.761.805,20;0,29;10.761.805,20;76.542,00;140,60;Stati Uniti;New York Stock Exchange Inc.;USD
CCI;CROWN CASTLE INC;Immobili;Azionario;10.622.105,04;0,28;10.622.105,04;118.696,00;89,49;Stati Uniti;New York Stock Exchange Inc.;USD
HIG;HARTFORD INSURANCE GROUP INC;Finanziari;Azionario;10.581.769,03;0,28;10.581.769,03;76.309,00;138,67;Stati Uniti;New York Stock Exchange Inc.;USD
IQV;IQVIA HOLDINGS INC;Salute;Azionario;10.321.195,39;0,28;10.321.195,39;46.153,00;223,63;Stati Uniti;New York Stock Exchange Inc.;USD
KDP;KEURIG DR PEPPER INC;Generi di largo consumo;Azionario;10.273.935,78;0,27;10.273.935,78;351.486,00;29,23;Stati Uniti;NASDAQ;USD
EBAY;EBAY INC;Consumi Discrezionali;Azionario;10.242.564,03;0,27;10.242.564,03;124.017,00;82,59;Stati Uniti;NASDAQ;USD
NUE;NUCOR CORP;Materiali;Azionario;10.205.801,82;0,27;10.205.801,82;62.991,00;162,02;Stati Uniti;New York Stock Exchange Inc.;USD
PAYX;PAYCHEX INC;Industriali;Azionario;10.197.861,30;0,27;10.197.861,30;88.385,00;115,38;Stati Uniti;NASDAQ;USD
FISV;FISERV INC;Finanziari;Azionario;10.174.661,31;0,27;10.174.661,31;147.523,00;68,97;Stati Uniti;NASDAQ;USD
STT;STATE STREET CORP;Finanziari;Azionario;10.027.023,05;0,27;10.027.023,05;77.759,00;128,95;Stati Uniti;New York Stock Exchange Inc.;USD
FIS;FIDELITY NATIONAL INFORMATION SERV;Finanziari;Azionario;9.493.923,30;0,25;9.493.923,30;142.530,00;66,61;Stati Uniti;New York Stock Exchange Inc.;USD
VEEV;VEEVA SYSTEMS INC CLASS A;Salute;Azionario;9.348.527,40;0,25;9.348.527,40;42.474,00;220,10;Stati Uniti;New York Stock Exchange Inc.;USD
KMB;KIMBERLY CLARK CORP;Generi di largo consumo;Azionario;9.299.185,20;0,25;9.299.185,20;90.459,00;102,80;Stati Uniti;NASDAQ;USD
XYL;XYLEM INC;Industriali;Azionario;9.173.578,75;0,25;9.173.578,75;66.355,00;138,25;Stati Uniti;New York Stock Exchange Inc.;USD
KVUE;KENVUE INC;Generi di largo consumo;Azionario;9.001.019,31;0,24;9.001.019,31;523.011,00;17,21;Stati Uniti;New York Stock Exchange Inc.;USD
HUM;HUMANA INC;Salute;Azionario;8.928.225,78;0,24;8.928.225,78;32.497,00;274,74;Stati Uniti;New York Stock Exchange Inc.;USD
WTW;WILLIS TOWERS WATSON PLC;Finanziari;Azionario;8.756.474,21;0,23;8.756.474,21;26.473,00;330,77;Stati Uniti;NASDAQ;USD
FOX;FOX CORP CLASS B;Comunicazione;Azionario;8.687.266,35;0,23;8.687.266,35;137.435,00;63,21;Stati Uniti;NASDAQ;USD
RJF;RAYMOND JAMES INC;Finanziari;Azionario;8.459.832,65;0,23;8.459.832,65;51.955,00;162,83;Stati Uniti;New York Stock Exchange Inc.;USD
SYF;SYNCHRONY FINANCIAL;Finanziari;Azionario;8.402.712,22;0,22;8.402.712,22;100.982,00;83,21;Stati Uniti;New York Stock Exchange Inc.;USD
ODFL;OLD DOMINION FREIGHT LINE INC;Industriali;Azionario;7.990.150,24;0,21;7.990.150,24;50.744,00;157,46;Stati Uniti;NASDAQ;USD
MTD;METTLER TOLEDO INC;Salute;Azionario;7.870.282,84;0,21;7.870.282,84;5.572,00;1.412,47;Stati Uniti;New York Stock Exchange Inc.;USD
EME;EMCOR GROUP INC;Industriali;Azionario;7.636.365,24;0,20;7.636.365,24;12.236,00;624,09;Stati Uniti;New York Stock Exchange Inc.;USD
TSCO;TRACTOR SUPPLY;Consumi Discrezionali;Azionario;7.613.715,85;0,20;7.613.715,85;143.845,00;52,93;Stati Uniti;NASDAQ;USD
HBAN;HUNTINGTON BANCSHARES INC;Finanziari;Azionario;7.567.511,46;0,20;7.567.511,46;426.579,00;17,74;Stati Uniti;NASDAQ;USD
BR;BROADRIDGE FINANCIAL SOLUTIONS INC;Industriali;Azionario;7.345.675,35;0,20;7.345.675,35;32.045,00;229,23;Stati Uniti;New York Stock Exchange Inc.;USD
NTRS;NORTHERN TRUST CORP;Finanziari;Azionario;7.217.516,28;0,19;7.217.516,28;51.694,00;139,62;Stati Uniti;NASDAQ;USD
ULTA;ULTA BEAUTY INC;Consumi Discrezionali;Azionario;7.195.495,20;0,19;7.195.495,20;12.171,00;591,20;Stati Uniti;NASDAQ;USD
BIIB;BIOGEN INC;Salute;Azionario;7.012.904,70;0,19;7.012.904,70;39.905,00;175,74;Stati Uniti;NASDAQ;USD
VLTO;VERALTO CORP;Industriali;Azionario;6.832.276,96;0,18;6.832.276,96;68.132,00;100,28;Stati Uniti;New York Stock Exchange Inc.;USD
GIS;GENERAL MILLS INC;Generi di largo consumo;Azionario;6.812.829,14;0,18;6.812.829,14;144.769,00;47,06;Stati Uniti;New York Stock Exchange Inc.;USD
STE;STERIS;Salute;Azionario;6.806.789,37;0,18;6.806.789,37;26.791,00;254,07;Stati Uniti;New York Stock Exchange Inc.;USD
PHM;PULTEGROUP INC;Consumi Discrezionali;Azionario;6.774.483,99;0,18;6.774.483,99;53.549,00;126,51;Stati Uniti;New York Stock Exchange Inc.;USD
RF;REGIONS FINANCIAL CORP;Finanziari;Azionario;6.601.373,46;0,18;6.601.373,46;241.014,00;27,39;Stati Uniti;New York Stock Exchange Inc.;USD
PPG;PPG INDUSTRIES INC;Materiali;Azionario;6.448.272,40;0,17;6.448.272,40;62.170,00;103,72;Stati Uniti;New York Stock Exchange Inc.;USD
STLD;STEEL DYNAMICS INC;Materiali;Azionario;6.410.786,97;0,17;6.410.786,97;37.946,00;168,94;Stati Uniti;NASDAQ;USD
HUBB;HUBBELL INC;Industriali;Azionario;6.357.208,44;0,17;6.357.208,44;14.291,00;444,84;Stati Uniti;New York Stock Exchange Inc.;USD
WAT;WATERS CORP;Salute;Azionario;6.292.366,92;0,17;6.292.366,92;16.326,00;385,42;Stati Uniti;New York Stock Exchange Inc.;USD
TROW;T ROWE PRICE GROUP INC;Finanziari;Azionario;6.223.520,82;0,17;6.223.520,82;60.061,00;103,62;Stati Uniti;NASDAQ;USD
WSM;WILLIAMS SONOMA INC;Consumi Discrezionali;Azionario;6.129.017,79;0,16;6.129.017,79;33.053,00;185,43;Stati Uniti;New York Stock Exchange Inc.;USD
LULU;LULULEMON ATHLETICA INC;Consumi Discrezionali;Azionario;6.035.013,95;0,16;6.035.013,95;29.255,00;206,29;Stati Uniti;NASDAQ;USD
LH;LABCORP HOLDINGS INC;Salute;Azionario;5.841.712,72;0,16;5.841.712,72;22.184,00;263,33;Stati Uniti;New York Stock Exchange Inc.;USD
DGX;QUEST DIAGNOSTICS INC;Salute;Azionario;5.639.289,30;0,15;5.639.289,30;30.630,00;184,11;Stati Uniti;New York Stock Exchange Inc.;USD
PODD;INSULET CORP;Salute;Azionario;5.558.221,17;0,15;5.558.221,17;19.067,00;291,51;Stati Uniti;NASDAQ;USD
CHD;CHURCH AND DWIGHT INC;Generi di largo consumo;Azionario;5.523.439,74;0,15;5.523.439,74;64.974,00;85,01;Stati Uniti;New York Stock Exchange Inc.;USD
CNC;CENTENE CORP;Salute;Azionario;5.459.657,85;0,15;5.459.657,85;134.973,00;40,45;Stati Uniti;New York Stock Exchange Inc.;USD
