18-dic-2025;;;;;;;;;;;
iShares Edge MSCI World Quality Factor UCITS ETF;;;;;;;;;;;
Inception Date;03/10/2014;;;;;;;;;;
Fund Holdings as of;18/12/2025;;;;;;;;;;
Number of Securities;299,00;;;;;;;;;;
Shares Outstanding;53.800.000,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
ADSK;AUTODESK INC;IT;Azionario;11.564.429,04;0,27;11.564.429,04;38.646,00;299,24;Stati Uniti;NASDAQ;USD
PSA;PUBLIC STORAGE REIT;Immobili;Azionario;11.470.745,19;0,27;11.470.745,19;43.887,00;261,37;Stati Uniti;New York Stock Exchange Inc.;USD
SPG;SIMON PROPERTY GROUP REIT INC;Immobili;Azionario;11.440.842,33;0,27;11.440.842,33;61.819,00;185,07;Stati Uniti;New York Stock Exchange Inc.;USD
FAST;FASTENAL;Industriali;Azionario;10.952.722,90;0,26;10.952.722,90;258.685,00;42,34;Stati Uniti;NASDAQ;USD
HAL;HALLIBURTON;Energia;Azionario;10.821.821,24;0,25;10.821.821,24;394.094,00;27,46;Stati Uniti;New York Stock Exchange Inc.;USD
ATO;ATMOS ENERGY CORP;Imprese di servizi di pubblica utilità;Azionario;10.774.095,48;0,25;10.774.095,48;63.594,00;169,42;Stati Uniti;New York Stock Exchange Inc.;USD
AI;LAIR LIQUIDE SOCIETE ANONYME POUR;Materiali;Azionario;10.591.069,30;0,25;10.591.069,30;56.552,00;187,28;Francia;Nyse Euronext - Euronext Paris;EUR
MPWR;MONOLITHIC POWER SYSTEMS INC;IT;Azionario;10.432.483,52;0,25;10.432.483,52;11.224,00;929,48;Stati Uniti;NASDAQ;USD
IDXX;IDEXX LABORATORIES INC;Salute;Azionario;10.270.374,30;0,24;10.270.374,30;14.733,00;697,10;Stati Uniti;NASDAQ;USD
NEM;NEWMONT;Materiali;Azionario;10.258.245,76;0,24;10.258.245,76;103.264,00;99,34;Stati Uniti;New York Stock Exchange Inc.;USD
PHM;PULTEGROUP INC;Consumi Discrezionali;Azionario;10.256.546,30;0,24;10.256.546,30;84.305,00;121,66;Stati Uniti;New York Stock Exchange Inc.;USD
TRV;TRAVELERS COMPANIES INC;Finanziari;Azionario;10.100.972,70;0,24;10.100.972,70;34.398,00;293,65;Stati Uniti;New York Stock Exchange Inc.;USD
USD;USD CASH;Liquidità e/o derivati;Contanti;9.937.559,76;0,23;9.937.559,76;9.937.560,00;100,00;Stati Uniti;--;USD
DVN;DEVON ENERGY CORP;Energia;Azionario;9.931.624,52;0,23;9.931.624,52;278.041,00;35,72;Stati Uniti;New York Stock Exchange Inc.;USD
AMP;AMERIPRISE FINANCE INC;Finanziari;Azionario;9.785.987,54;0,23;9.785.987,54;20.066,00;487,69;Stati Uniti;New York Stock Exchange Inc.;USD
AON;AON PLC CLASS A;Finanziari;Azionario;9.726.054,02;0,23;9.726.054,02;27.551,00;353,02;Stati Uniti;New York Stock Exchange Inc.;USD
DECK;DECKERS OUTDOOR CORP;Consumi Discrezionali;Azionario;9.560.997,85;0,22;9.560.997,85;95.087,00;100,55;Stati Uniti;New York Stock Exchange Inc.;USD
OR;LOREAL SA;Generi di largo consumo;Azionario;9.556.932,72;0,22;9.556.932,72;21.680,00;440,82;Francia;Nyse Euronext - Euronext Paris;EUR
RIO;RIO TINTO PLC;Materiali;Azionario;9.476.228,91;0,22;9.476.228,91;122.172,00;77,56;Regno unito;London Stock Exchange;GBP
PYPL;PAYPAL HOLDINGS INC;Finanziari;Azionario;9.343.968,00;0,22;9.343.968,00;157.200,00;59,44;Stati Uniti;NASDAQ;USD
SHW;SHERWIN WILLIAMS;Materiali;Azionario;9.337.506,64;0,22;9.337.506,64;28.699,00;325,36;Stati Uniti;New York Stock Exchange Inc.;USD
ATCO A;ATLAS COPCO CLASS A;Industriali;Azionario;9.095.956,97;0,21;9.095.956,97;517.575,00;17,57;Svezia;Nasdaq Omx Nordic;SEK
CBRE;CBRE GROUP INC CLASS A;Immobili;Azionario;8.653.220,64;0,20;8.653.220,64;53.894,00;160,56;Stati Uniti;New York Stock Exchange Inc.;USD
MFC;MANULIFE FINANCIAL CORP;Finanziari;Azionario;8.555.006,23;0,20;8.555.006,23;236.159,00;36,23;Canada;Toronto Stock Exchange;CAD
PAYX;PAYCHEX INC;Industriali;Azionario;8.473.066,56;0,20;8.473.066,56;74.169,00;114,24;Stati Uniti;NASDAQ;USD
ZTS;ZOETIS INC CLASS A;Salute;Azionario;8.344.733,76;0,20;8.344.733,76;67.976,00;122,76;Stati Uniti;New York Stock Exchange Inc.;USD
AJG;ARTHUR J GALLAGHER;Finanziari;Azionario;8.130.965,76;0,19;8.130.965,76;32.184,00;252,64;Stati Uniti;New York Stock Exchange Inc.;USD
BBY;BEST BUY INC;Consumi Discrezionali;Azionario;8.103.569,76;0,19;8.103.569,76;112.926,00;71,76;Stati Uniti;New York Stock Exchange Inc.;USD
AFL;AFLAC INC;Finanziari;Azionario;8.025.913,14;0,19;8.025.913,14;72.659,00;110,46;Stati Uniti;New York Stock Exchange Inc.;USD
ALL;ARISTOCRAT LEISURE LTD;Consumi Discrezionali;Azionario;7.863.727,99;0,19;7.863.727,99;209.091,00;37,61;Australia;Asx - All Markets;AUD
FERG;FERGUSON ENTERPRISES INC;Industriali;Azionario;7.681.518,80;0,18;7.681.518,80;33.980,00;226,06;Stati Uniti;New York Stock Exchange Inc.;USD
ADYEN;ADYEN NV;Finanziari;Azionario;7.544.083,47;0,18;7.544.083,47;4.695,00;1.606,84;Paesi Bassi;Euronext Amsterdam;EUR
DB1;DEUTSCHE BOERSE AG;Finanziari;Azionario;7.535.184,79;0,18;7.535.184,79;29.101,00;258,93;Germania;Xetra;EUR
7936;ASICS CORP;Consumi Discrezionali;Azionario;7.404.166,00;0,17;7.404.166,00;300.700,00;24,62;Giappone;Tokyo Stock Exchange;JPY
IMO;IMPERIAL OIL LTD;Energia;Azionario;7.351.910,51;0,17;7.351.910,51;87.795,00;83,74;Canada;Toronto Stock Exchange;CAD
PGHN;PARTNERS GROUP HOLDING AG;Finanziari;Azionario;7.080.610,58;0,17;7.080.610,58;5.752,00;1.230,98;Svizzera;SIX Swiss Exchange;CHF
FIX;COMFORT SYSTEMS USA INC;Industriali;Azionario;7.041.527,64;0,17;7.041.527,64;7.666,00;918,54;Stati Uniti;New York Stock Exchange Inc.;USD
OKLO;OKLO INC CLASS A;Imprese di servizi di pubblica utilità;Azionario;7.021.224,80;0,17;7.021.224,80;90.340,00;77,72;Stati Uniti;New York Stock Exchange Inc.;USD
III;3I GROUP PLC;Finanziari;Azionario;6.966.291,12;0,16;6.966.291,12;159.005,00;43,81;Regno unito;London Stock Exchange;GBP
GEBN;GEBERIT AG;Industriali;Azionario;6.814.423,17;0,16;6.814.423,17;8.710,00;782,37;Svizzera;SIX Swiss Exchange;CHF
EXPN;EXPERIAN PLC;Industriali;Azionario;6.736.136,84;0,16;6.736.136,84;147.571,00;45,65;Regno unito;London Stock Exchange;GBP
KNEBV;KONE;Industriali;Azionario;6.627.768,10;0,16;6.627.768,10;93.976,00;70,53;Finlandia;Nasdaq Omx Helsinki Ltd.;EUR
MONC;MONCLER;Consumi Discrezionali;Azionario;6.419.465,53;0,15;6.419.465,53;95.634,00;67,13;Italia;Borsa Italiana;EUR
EME;EMCOR GROUP INC;Industriali;Azionario;6.340.649,56;0,15;6.340.649,56;10.346,00;612,86;Stati Uniti;New York Stock Exchange Inc.;USD
7832;BANDAI NAMCO HOLDINGS INC;Consumi Discrezionali;Azionario;6.092.220,90;0,14;6.092.220,90;224.500,00;27,14;Giappone;Tokyo Stock Exchange;JPY
HIG;HARTFORD INSURANCE GROUP INC;Finanziari;Azionario;6.036.647,43;0,14;6.036.647,43;43.451,00;138,93;Stati Uniti;New York Stock Exchange Inc.;USD
ECL;ECOLAB INC;Materiali;Azionario;5.936.996,52;0,14;5.936.996,52;22.581,00;262,92;Stati Uniti;New York Stock Exchange Inc.;USD
PRU;PRUDENTIAL PLC;Finanziari;Azionario;5.920.345,56;0,14;5.920.345,56;390.300,00;15,17;Regno unito;London Stock Exchange;GBP
ODFL;OLD DOMINION FREIGHT LINE INC;Industriali;Azionario;5.807.052,30;0,14;5.807.052,30;36.626,00;158,55;Stati Uniti;NASDAQ;USD
ELE;ENDESA SA;Imprese di servizi di pubblica utilità;Azionario;5.762.090,44;0,14;5.762.090,44;160.154,00;35,98;Spagna;Bolsa De Madrid;EUR
CPRT;COPART INC;Industriali;Azionario;5.604.224,24;0,13;5.604.224,24;142.892,00;39,22;Stati Uniti;NASDAQ;USD
RKT;RECKITT BENCKISER GROUP PLC;Generi di largo consumo;Azionario;5.593.519,24;0,13;5.593.519,24;69.325,00;80,69;Regno unito;London Stock Exchange;GBP
ACGL;ARCH CAPITAL GROUP LTD;Finanziari;Azionario;5.580.982,80;0,13;5.580.982,80;57.864,00;96,45;Stati Uniti;NASDAQ;USD
7741;HOYA CORP;Salute;Azionario;5.500.575,40;0,13;5.500.575,40;36.200,00;151,95;Giappone;Tokyo Stock Exchange;JPY
8725;MS&AD INSURANCE GROUP HOLDINGS INC;Finanziari;Azionario;5.492.161,11;0,13;5.492.161,11;228.600,00;24,03;Giappone;Tokyo Stock Exchange;JPY
MNST;MONSTER BEVERAGE CORP;Generi di largo consumo;Azionario;5.481.867,16;0,13;5.481.867,16;72.646,00;75,46;Stati Uniti;NASDAQ;USD
DKS;DICKS SPORTING INC;Consumi Discrezionali;Azionario;5.477.365,18;0,13;5.477.365,18;26.074,00;210,07;Stati Uniti;New York Stock Exchange Inc.;USD
2;CLP HOLDINGS LTD;Imprese di servizi di pubblica utilità;Azionario;5.374.308,35;0,13;5.374.308,35;606.000,00;8,87;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
IFC;INTACT FINANCIAL CORP;Finanziari;Azionario;5.351.071,59;0,13;5.351.071,59;25.934,00;206,33;Canada;Toronto Stock Exchange;CAD
